stop_1,stop_2,mean_sec,std_sec,stop_1_lat,stop_1_lon,stop_2_lat,stop_2_lon
15852,409,33.5,3.6,41.88059058,-87.72786002,41.88061422,-87.72582347
409,18047,82.9,8.0,41.88061422,-87.72582347,41.88070328,-87.72286077
18047,17841,64.7,15.7,41.88070328,-87.72286077,41.88074353,-87.72045859
17841,412,54.3,5.5,41.88074353,-87.72045859,41.8808072,-87.7159745
412,413,40.2,5.3,41.8808072,-87.7159745,41.88081388,-87.71381964
413,14764,62.5,12.5,41.88081388,-87.71381964,41.88084064,-87.71073049
14764,415,50.3,6.7,41.88084064,-87.71073049,41.880887,-87.708722
415,416,50.2,14.1,41.880887,-87.708722,41.880902,-87.706333
416,417,63.5,8.6,41.880902,-87.706333,41.880952,-87.703147
417,15185,35.0,7.6,41.880952,-87.703147,41.88095403,-87.70088084
15185,16110,50.4,7.2,41.88095403,-87.70088084,41.88099888,-87.69856203
16110,420,51.7,6.5,41.88099888,-87.69856203,41.88100858,-87.69600765
420,421,21.4,2.0,41.88100858,-87.69600765,41.88103245,-87.694048
421,16088,23.7,2.6,41.88103245,-87.694048,41.88103301,-87.69229365
16088,423,32.9,4.0,41.88103301,-87.69229365,41.88106252,-87.68897646
423,15364,127.9,13.7,41.88106252,-87.68897646,41.88109893,-87.68607651
15364,425,65.8,10.6,41.88109893,-87.68607651,41.88112797,-87.68410996
425,15384,39.9,1.1,41.88112797,-87.68410996,41.88117403,-87.68122249
15384,427,41.1,6.5,41.88117403,-87.68122249,41.881232,-87.679293
427,428,45.6,3.2,41.881232,-87.679293,41.881262,-87.67685
428,429,55.0,7.7,41.881262,-87.67685,41.88129674,-87.67424663
429,430,38.6,3.4,41.88129674,-87.67424663,41.8813284,-87.67186305
430,431,54.4,5.9,41.8813284,-87.67186305,41.88137,-87.669513
431,4727,49.5,6.3,41.88137,-87.669513,41.881385,-87.668503
4727,432,79.5,6.6,41.881385,-87.668503,41.88139461,-87.66699977
432,15279,94.6,15.4,41.88139461,-87.66699977,41.88143358,-87.66418871
15279,16049,33.2,2.1,41.88143358,-87.66418871,41.88146881,-87.66201484
16049,435,38.6,4.9,41.88146881,-87.66201484,41.881525,-87.659765
435,436,62.8,8.7,41.881525,-87.659765,41.881545,-87.657333
436,437,71.8,5.8,41.881545,-87.657333,41.881608,-87.654897
437,14647,59.3,6.1,41.881608,-87.654897,41.88165169,-87.65191235
14647,439,50.4,4.1,41.88165169,-87.65191235,41.88167775,-87.64983775
439,440,73.1,0.5,41.88167775,-87.64983775,41.882,-87.64728
440,12754,62.5,7.5,41.882,-87.64728,41.8830708,-87.64669495
12754,442,68.5,8.6,41.8830708,-87.64669495,41.88311,-87.642848
442,443,81.7,2.0,41.88311,-87.642848,41.883084,-87.639976
443,445,149.1,0.0,41.883084,-87.639976,41.883128,-87.635516
445,446,120.8,0.0,41.883128,-87.635516,41.883137,-87.632625
15848,406,38.0,4.6,41.88050398,-87.7352163,41.88053063,-87.7331241
406,14500,54.4,7.5,41.88053063,-87.7331241,41.88056848,-87.7304601
14500,15852,59.7,5.8,41.88056848,-87.7304601,41.88059058,-87.72786002
17169,17162,50.3,7.4,41.88029685,-87.75221539,41.88033514,-87.7491367
17162,14959,85.3,14.2,41.88033514,-87.7491367,41.88039237,-87.74496781
14959,402,43.2,6.8,41.88039237,-87.74496781,41.880443,-87.742998
402,403,26.5,4.1,41.880443,-87.742998,41.880475,-87.740705
403,17163,36.0,5.2,41.880475,-87.740705,41.88048501,-87.73768052
17163,15848,49.9,4.8,41.88048501,-87.73768052,41.88050398,-87.7352163
14956,393,30.5,4.0,41.88014099,-87.76461188,41.88018349,-87.7632177
393,394,17.7,2.3,41.88018349,-87.7632177,41.88020276,-87.76191891
394,395,38.1,7.1,41.88020276,-87.76191891,41.88019981,-87.75996715
395,396,32.5,5.3,41.88019981,-87.75996715,41.88025187,-87.75778965
396,397,49.1,5.5,41.88025187,-87.75778965,41.88027,-87.75526
397,17169,65.9,6.5,41.88027,-87.75526,41.88029685,-87.75221539
386,388,47.4,7.5,41.880313,-87.774043,41.88000915,-87.7714723
388,389,26.2,3.9,41.88000915,-87.7714723,41.88008776,-87.76992191
389,390,26.8,6.1,41.88008776,-87.76992191,41.88010476,-87.76821491
390,391,19.0,1.4,41.88010476,-87.76821491,41.88014676,-87.76661691
391,14956,70.3,8.9,41.88014676,-87.76661691,41.88014099,-87.76461188
