stop_1,stop_2,time_sec,stop_1_lat,stop_1_lon,stop_2_lat,stop_2_lon
14500,15852,55.8,41.88056848,-87.7304601,41.88059058,-87.72786002
15852,409,30.7,41.88059058,-87.72786002,41.88061422,-87.72582347
409,18047,91.1,41.88061422,-87.72582347,41.88070328,-87.72286077
18047,17841,65.1,41.88070328,-87.72286077,41.88074353,-87.72045859
17841,412,58.1,41.88074353,-87.72045859,41.8808072,-87.7159745
412,413,41.3,41.8808072,-87.7159745,41.88081388,-87.71381964
413,14764,54.9,41.88081388,-87.71381964,41.88084064,-87.71073049
14764,415,45.1,41.88084064,-87.71073049,41.880887,-87.708722
415,416,47.8,41.880887,-87.708722,41.880902,-87.706333
416,417,65.3,41.880902,-87.706333,41.880952,-87.703147
417,15185,37.9,41.880952,-87.703147,41.88095403,-87.70088084
15185,16110,49.5,41.88095403,-87.70088084,41.88099888,-87.69856203
16110,420,47.0,41.88099888,-87.69856203,41.88100858,-87.69600765
420,421,22.1,41.88100858,-87.69600765,41.88103245,-87.694048
421,16088,22.6,41.88103245,-87.694048,41.88103301,-87.69229365
16088,423,36.1,41.88103301,-87.69229365,41.88106252,-87.68897646
423,15364,129.2,41.88106252,-87.68897646,41.88109893,-87.68607651
15364,425,70.5,41.88109893,-87.68607651,41.88112797,-87.68410996
425,15384,38.5,41.88112797,-87.68410996,41.88117403,-87.68122249
15384,427,41.4,41.88117403,-87.68122249,41.881232,-87.679293
427,428,45.1,41.881232,-87.679293,41.881262,-87.67685
428,429,40.0,41.881262,-87.67685,41.88129674,-87.67424663
429,430,36.5,41.88129674,-87.67424663,41.8813284,-87.67186305
430,431,57.5,41.8813284,-87.67186305,41.88137,-87.669513
431,4727,73.4,41.88137,-87.669513,41.881385,-87.668503
4727,432,83.1,41.881385,-87.668503,41.88139461,-87.66699977
432,15279,85.2,41.88139461,-87.66699977,41.88143358,-87.66418871
15279,16049,27.9,41.88143358,-87.66418871,41.88146881,-87.66201484
16049,435,52.7,41.88146881,-87.66201484,41.881525,-87.659765
435,436,80.2,41.881525,-87.659765,41.881545,-87.657333
436,437,72.2,41.881545,-87.657333,41.881608,-87.654897
437,14647,66.5,41.881608,-87.654897,41.88165169,-87.65191235
14647,439,44.5,41.88165169,-87.65191235,41.88167775,-87.64983775
439,440,76.8,41.88167775,-87.64983775,41.882,-87.64728
440,12754,52.9,41.882,-87.64728,41.8830708,-87.64669495
12754,442,69.7,41.8830708,-87.64669495,41.88311,-87.642848
442,443,146.6,41.88311,-87.642848,41.883084,-87.639976
443,445,207.8,41.883084,-87.639976,41.883128,-87.635516
445,446,94.4,41.883128,-87.635516,41.883137,-87.632625
446,18122,82.2,41.883137,-87.632625,41.88314707,-87.63019604
18122,448,81.2,41.88314707,-87.63019604,41.88316957,-87.62749695
448,1119,290.3,41.88316957,-87.62749695,41.88468794,-87.62431755
1119,1120,73.0,41.88468794,-87.62431755,41.88669974,-87.624384
1120,1121,42.9,41.88669974,-87.624384,41.888076,-87.624425
1121,3953,60.4,41.888076,-87.624425,41.887978,-87.621979
3953,3954,48.1,41.887978,-87.621979,41.887792,-87.620967
3954,8613,139.3,41.887792,-87.620967,41.884688,-87.620796
403,17163,36.1,41.880475,-87.740705,41.88048501,-87.73768052
17163,15848,56.1,41.88048501,-87.73768052,41.88050398,-87.7352163
15848,406,37.0,41.88050398,-87.7352163,41.88053063,-87.7331241
406,14500,57.7,41.88053063,-87.7331241,41.88056848,-87.7304601
17169,17162,44.2,41.88029685,-87.75221539,41.88033514,-87.7491367
17162,14959,84.1,41.88033514,-87.7491367,41.88039237,-87.74496781
14959,402,44.6,41.88039237,-87.74496781,41.880443,-87.742998
402,403,24.8,41.880443,-87.742998,41.880475,-87.740705
391,14956,55.5,41.88014676,-87.76661691,41.88014099,-87.76461188
14956,393,36.1,41.88014099,-87.76461188,41.88018349,-87.7632177
393,394,19.5,41.88018349,-87.7632177,41.88020276,-87.76191891
394,395,34.8,41.88020276,-87.76191891,41.88019981,-87.75996715
395,396,32.1,41.88019981,-87.75996715,41.88025187,-87.75778965
396,397,46.7,41.88025187,-87.75778965,41.88027,-87.75526
397,17169,63.4,41.88027,-87.75526,41.88029685,-87.75221539
386,388,50.5,41.880313,-87.774043,41.88000915,-87.7714723
388,389,26.0,41.88000915,-87.7714723,41.88008776,-87.76992191
389,390,27.2,41.88008776,-87.76992191,41.88010476,-87.76821491
390,391,18.8,41.88010476,-87.76821491,41.88014676,-87.76661691
